market,t_index,delta_ig,volume,regime
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1312,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1314,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1316,0.0030667665707814207,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1319,0.01231564846382227,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1320,0.00630483598397813,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1330,0.00630483598397813,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1331,0.006409044362048255,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1334,0.0065185141789736445,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1338,0.0032732914595547946,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1352,0.013152346076229504,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1363,0.006409044362048255,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1364,0.0065185141789736445,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1373,0.012713880346026385,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1375,0.003165135699870203,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1378,0.0129275585410219,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1380,0.00663383189725586,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1386,0.0033621729454875737,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1402,0.0033935147415883327,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1416,0.0033621729454875737,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1465,0.0033935147415883327,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1512,0.0033935147415883327,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1550,0.006755687687075906,41.02,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1671,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1716,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1738,0.003459098541178318,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1745,0.007022457418082162,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1763,0.0035657391286473272,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1770,0.007169551515935346,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1789,0.003603812387288019,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1871,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1872,0.003459098541178318,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1878,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1882,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1887,0.0034258028878741964,0.0,activity_bin_2
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,1889,0.003459098541178318,0.0,activity_bin_2
