market,y_true,sep_proxy,vol_dx,liq_proxy,n_obs,v_sum,v_mean,v_median,trades_per_hour,p_raw,p_smoothed,p_posterior,log_score_raw,log_score_smoothed,log_score_posterior,p_logreg,log_score_logreg
culture-will-zelenskyy-wear-a-suit-and-tie-at-the-world-economic-forum,0,3.6836233382205776,0.8529543522299599,0.0,166.0,726805.0946779998,4378.3439438433725,0.0,166000000.0,0.001,0.0010000000788947137,0.001,0.0010005003335835344,0.0010005004125571767,0.0010005003335835344,0.9007429940401385,2.3100427728898874
geopolitics-china-x-japan-sever-diplomatic-relations-in-2025,0,33.04102106059458,0.18364761870523946,0.0,1675.0,178177.792941,106.3748017558209,0.0,1000663790.2422833,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.3621109696818571,0.4495909444361847
geopolitics-foreign-intervention-in-gaza-in-2025,0,33.763227846456985,0.16211416933474168,0.0,2518.0,119620.32772799999,47.506087262907066,0.0,1000419379.7594085,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.11585928183282361,0.12313904556580198
geopolitics-maduro-in-us-custody-by-december-31,0,22.62115400082553,0.24347335950332682,0.0,1721.0,378652.124244,220.01866603370135,0.0,1000581395.3488373,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.24788242432588498,0.28486261662331114
geopolitics-russia-strike-on-kyiv-municipality-by-december-31-684,0,31.590987261894313,0.35700442659632087,0.0,768.0,137591.518898,179.15562356510418,0.0,768000000.0,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.43852069018819867,0.5771803535470135
geopolitics-will-hezbollah-to-disarm-before-in-2025,0,21.390530368127216,0.2022678520353338,0.0,4555.0,1385135.5099590002,304.0912206276619,0.0,1000243991.7042822,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.016771618734959526,0.016913854929438903
geopolitics-will-iran-withdraw-from-the-npt-in-2025,0,26.867692323758693,0.15519410034034709,0.0,4512.0,108982.876478,24.154006311613475,0.0,1000258636.6155552,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.020422205927419265,0.020633622523059742
geopolitics-will-japanese-pm-apologize-for-china-comments-in-2025,0,38.35087517475532,0.20065617840016808,0.0,1652.0,106655.523566,64.56145494309928,0.0,1000706713.7809187,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.2134876319810866,0.24014683121785602
geopolitics-will-netanyahu-be-pardoned-in-2025,0,32.817127050559236,0.2066830461559916,0.0,1850.0,127475.49204999999,68.90567137837837,0.0,1000600961.5384616,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.20060915261346948,0.22390528212431046
geopolitics-will-russia-capture-slovainsk-in-2025,0,24.247202229469718,0.13252307329225435,0.0,4556.0,442404.594803,97.10373020258999,0.0,1000219538.968167,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.1629038756033447,0.17781637112417364
geopolitics-will-the-us-invade-afghanistan-in-2025,0,11.40554813434933,0.23411886023528608,0.0,5349.0,158825.61934000003,29.692581667601427,0.0,1000228547.6833577,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.010378048088552028,0.010432275539291182
